"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","Sequence","FromStopID","ToStopID","Distance"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,18,"291328","291337","319.99"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,19,"291337","291329","471.58"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,20,"291329","291341","284.98"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,21,"291341","291344","426.15"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,22,"291344","291345","440.27"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,23,"291345","291346","135.36"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,24,"291346","291340","170.98"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,25,"291340","291331","277.8"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,26,"291331","291370","645.51"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,27,"291370","291368","171.3"
"HSZ0110","0110","11","HSZ0110A1","0110A1","11A",0,28,"291368","304293",""
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,1,"","304294",""
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,2,"304294","291372","131.98"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,3,"291372","291371","303.07"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,4,"291371","291373","200.99"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,5,"291373","291352","597.76"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,6,"291352","291360","250.04"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,7,"291360","291366","229.72"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,8,"291366","291365","277.38"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,9,"291365","291364","464.61"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,10,"291364","291361","407.65"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,11,"291361","291350","289.4"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,12,"291350","291357","428.33"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,13,"291357","291349","489.77"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,14,"291349","291358","235.45"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,15,"291358","291359","377.36"
"HSZ0110","0110","11","HSZ0110A2","0110A2","11A",1,16,"291359","291367","435.32"
